"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\App.tsx", "TypeScript JSX", 0, 61, 0, 0, 9, 70
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\auth\LoginForm.tsx", "TypeScript JSX", 0, 118, 0, 0, 7, 125
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\auth\LogoutForm.tsx", "TypeScript JSX", 0, 25, 0, 0, 3, 28
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\auth\RegisterForm.tsx", "TypeScript JSX", 0, 133, 0, 0, 8, 141
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\CreateGameForm.tsx", "TypeScript JSX", 0, 285, 0, 0, 11, 296
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\EditGameForm.tsx", "TypeScript JSX", 0, 302, 0, 0, 14, 316
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\AcceptGameTeamModal.tsx", "TypeScript JSX", 0, 74, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\ChangeScoreModal.tsx", "TypeScript JSX", 0, 144, 0, 0, 5, 149
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\DeleteGameModal.tsx", "TypeScript JSX", 0, 63, 0, 0, 8, 71
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\GameSetComponent.tsx", "TypeScript JSX", 0, 69, 0, 0, 6, 75
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\GameSets.tsx", "TypeScript JSX", 0, 69, 0, 0, 7, 76
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\RequestJoinGameModal.tsx", "TypeScript JSX", 0, 74, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\SetPlayerComponent.tsx", "TypeScript JSX", 0, 107, 0, 0, 6, 113
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\SetTable.tsx", "TypeScript JSX", 0, 124, 0, 0, 5, 129
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\index.tsx", "TypeScript JSX", 0, 914, 0, 10, 39, 963
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameList\GameSmallCard.tsx", "TypeScript JSX", 0, 65, 0, 0, 6, 71
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameList\index.tsx", "TypeScript JSX", 0, 94, 0, 0, 9, 103
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\BackButton.tsx", "TypeScript JSX", 0, 13, 0, 0, 4, 17
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\Footer.tsx", "TypeScript JSX", 0, 28, 0, 0, 9, 37
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\Layout.tsx", "TypeScript JSX", 0, 27, 0, 0, 7, 34
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\Loader.tsx", "TypeScript JSX", 0, 18, 0, 0, 5, 23
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\MainContent.tsx", "TypeScript JSX", 0, 15, 0, 0, 4, 19
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\Navbar.tsx", "TypeScript JSX", 0, 230, 0, 0, 19, 249
