"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\App.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 2
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\AddRoleModal.tsx", "TypeScript JSX", 62, 0, 0, 0, 6, 68
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\AdminPanel.tsx", "TypeScript JSX", 83, 0, 0, 0, 9, 92
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\GenerateTournamentsModal.tsx", "TypeScript JSX", 38, 0, 0, 0, 5, 43
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\RemoveRoleModal.tsx", "TypeScript JSX", 62, 0, 0, 0, 6, 68
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\UsersList.tsx", "TypeScript JSX", 322, 0, 0, 0, 19, 341
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\GameSettings.tsx", "TypeScript JSX", 77, 0, 0, 0, 6, 83
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\SetPlayerComponent.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 28
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\SetTable.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, -1
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\index.tsx", "TypeScript JSX", -9, 0, 0, 1, -1, -9
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameList\GameSmallCard.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 5
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameList\index.tsx", "TypeScript JSX", 55, 0, 0, 0, 3, 58
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamList\TeamSmallCard.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 2
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamList\index.tsx", "TypeScript JSX", 53, 0, 0, 0, 2, 55
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\EditTournamentForm.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 17
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\TournamentBracket.tsx", "TypeScript JSX", 20, 0, 0, -1, 1, 20
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\TournamentSettings.tsx", "TypeScript JSX", 89, 0, 0, 0, 6, 95
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\index.tsx", "TypeScript JSX", 33, 0, 0, 0, 1, 34
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentList\TournamentSmallCard.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 1
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentList\index.tsx", "TypeScript JSX", 61, 0, 0, 0, 4, 65
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\index.css", "CSS", 0, 0, 1, 0, 0, 1
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\AdminPanel.tsx", "TypeScript JSX", -55, 0, 0, 0, -8, -63
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Admin\AdminPanelPage.tsx", "TypeScript JSX", 30, 0, 0, 0, 6, 36
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Admin\UsersListPage.tsx", "TypeScript JSX", 30, 0, 0, 0, 6, 36
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\admin.service.ts", "TypeScript", 0, -5, 0, 0, -1, -6
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\api.ts", "TypeScript", 0, 6, 0, 0, 0, 6
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\game.service.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\set.service.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\team.service.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\tournament.service.ts", "TypeScript", 0, 8, 0, 0, 1, 9
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\services\user.service.ts", "TypeScript", 0, 15, 0, 0, 3, 18
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\store\auth-slice.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\utils\helpers.ts", "TypeScript", 0, 7, 0, 0, 3, 10
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\utils\types.ts", "TypeScript", 0, 15, 0, 0, 1, 16
"Total", "-", 1005, 55, 1, 0, 79, 1140
