"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\App.tsx", "TypeScript JSX", 63, 0, 0, 0, 9, 72
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\AddRoleModal.tsx", "TypeScript JSX", 62, 0, 0, 0, 6, 68
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\AdminPanel.tsx", "TypeScript JSX", 83, 0, 0, 0, 9, 92
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\GenerateTournamentsModal.tsx", "TypeScript JSX", 38, 0, 0, 0, 5, 43
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\RemoveRoleModal.tsx", "TypeScript JSX", 62, 0, 0, 0, 6, 68
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\admin\UsersList.tsx", "TypeScript JSX", 322, 0, 0, 0, 19, 341
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\auth\LoginForm.tsx", "TypeScript JSX", 118, 0, 0, 0, 7, 125
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\auth\LogoutForm.tsx", "TypeScript JSX", 25, 0, 0, 0, 3, 28
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\auth\RegisterForm.tsx", "TypeScript JSX", 133, 0, 0, 0, 8, 141
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\CreateGameForm.tsx", "TypeScript JSX", 285, 0, 0, 0, 11, 296
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\EditGameForm.tsx", "TypeScript JSX", 302, 0, 0, 0, 14, 316
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\AcceptGameTeamModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\ChangeScoreModal.tsx", "TypeScript JSX", 144, 0, 0, 0, 5, 149
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\DeleteGameModal.tsx", "TypeScript JSX", 63, 0, 0, 0, 8, 71
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\GameSetComponent.tsx", "TypeScript JSX", 69, 0, 0, 0, 6, 75
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\GameSets.tsx", "TypeScript JSX", 69, 0, 0, 0, 7, 76
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\GameSettings.tsx", "TypeScript JSX", 77, 0, 0, 0, 6, 83
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\RequestJoinGameModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\SetPlayerComponent.tsx", "TypeScript JSX", 135, 0, 0, 0, 6, 141
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\SetTable.tsx", "TypeScript JSX", 123, 0, 0, 0, 5, 128
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameBigCard\index.tsx", "TypeScript JSX", 905, 0, 0, 11, 38, 954
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameList\GameSmallCard.tsx", "TypeScript JSX", 70, 0, 0, 0, 6, 76
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\game\GameList\index.tsx", "TypeScript JSX", 149, 0, 0, 0, 12, 161
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\BackButton.tsx", "TypeScript JSX", 13, 0, 0, 0, 4, 17
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\Footer.tsx", "TypeScript JSX", 28, 0, 0, 0, 9, 37
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\Layout.tsx", "TypeScript JSX", 27, 0, 0, 0, 7, 34
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\Loader.tsx", "TypeScript JSX", 18, 0, 0, 0, 5, 23
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\MainContent.tsx", "TypeScript JSX", 15, 0, 0, 0, 4, 19
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\Navbar.tsx", "TypeScript JSX", 230, 0, 0, 0, 19, 249
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\layout\NotificationSnackbar.tsx", "TypeScript JSX", 23, 0, 0, 1, 6, 30
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\profile\EditProfile.tsx", "TypeScript JSX", 143, 0, 0, 0, 10, 153
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\profile\Profile.tsx", "TypeScript JSX", 177, 0, 0, 0, 8, 185
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\CreateTeamForm.tsx", "TypeScript JSX", 116, 0, 0, 0, 9, 125
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\EditTeamForm.tsx", "TypeScript JSX", 141, 0, 0, 0, 9, 150
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamBigCard\AddPlayerModal.tsx", "TypeScript JSX", 56, 0, 0, 0, 5, 61
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamBigCard\DeleteTeamModal.tsx", "TypeScript JSX", 66, 0, 0, 0, 9, 75
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamBigCard\RemovePlayerModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamBigCard\index.tsx", "TypeScript JSX", 257, 0, 0, 0, 18, 275
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamList\TeamSmallCard.tsx", "TypeScript JSX", 43, 0, 0, 0, 5, 48
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\team\TeamList\index.tsx", "TypeScript JSX", 152, 0, 0, 0, 12, 164
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\CreateTournamentForm.tsx", "TypeScript JSX", 335, 0, 0, 0, 14, 349
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\EditTournamentForm.tsx", "TypeScript JSX", 356, 0, 0, 0, 14, 370
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\AcceptTournamentTeamModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\DeleteTournamentModal.tsx", "TypeScript JSX", 63, 0, 0, 0, 8, 71
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\RemoveTournamentTeamModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\RequestJoinTournamentModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 5, 79
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\TournamentBracket.tsx", "TypeScript JSX", 129, 0, 0, 1, 16, 146
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\TournamentSettings.tsx", "TypeScript JSX", 89, 0, 0, 0, 6, 95
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentBigCard\index.tsx", "TypeScript JSX", 516, 0, 0, 0, 30, 546
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentList\TournamentSmallCard.tsx", "TypeScript JSX", 45, 0, 0, 0, 6, 51
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\components\tournament\TournamentList\index.tsx", "TypeScript JSX", 155, 0, 0, 0, 12, 167
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\index.css", "CSS", 0, 0, 26, 0, 6, 32
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\index.tsx", "TypeScript JSX", 36, 0, 0, 3, 5, 44
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Admin\AdminPanelPage.tsx", "TypeScript JSX", 30, 0, 0, 0, 6, 36
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Admin\UsersListPage.tsx", "TypeScript JSX", 30, 0, 0, 0, 6, 36
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Auth\LoginPage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Auth\LogoutPage.tsx", "TypeScript JSX", 20, 0, 0, 0, 6, 26
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Auth\RegisterPage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\EmptyPage.tsx", "TypeScript JSX", 5, 0, 0, 0, 3, 8
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\AllGamesPage.tsx", "TypeScript JSX", 49, 0, 0, 0, 4, 53
"c:\Stuff\KTU\8 semestras\bakalauras\tournaments\frontend\src\pages\Game\CreateGamePage.tsx", "TypeScript JSX", 29, 0, 0, 0, 6, 35
